ID,name,wins,losses,goals_for,goals_against
163,Philadelphia Flyers,45,24,274,217
164,Phoenix Coyotes,38,37,240,243
165,Pittsburgh Penguins,38,36,285,280
166,San Jose Sharks,27,47,211,278
167,St. Louis Blues,36,35,236,239
168,Tampa Bay Lightning,32,40,217,247
169,Toronto Maple Leafs,30,44,230,273
170,Vancouver Canucks,35,40,257,273
171,Washington Capitals,33,40,214,231
172,Mighty Ducks of Anaheim,26,43,205,261
173,Boston Bruins,39,30,221,194
174,Buffalo Sabres,36,29,211,187
175,Calgary Flames,26,41,217,252
176,Carolina Hurricanes,33,41,200,219
177,Chicago Blackhawks,30,39,192,199
178,Colorado Avalanche,39,26,231,205
179,Dallas Stars,49,22,242,167
180,Detroit Red Wings,44,23,250,196
181,Edmonton Oilers,35,37,215,224
182,Florida Panthers,24,43,203,256
183,Los Angeles Kings,38,33,227,225
184,Montreal Canadiens,37,32,235,208
185,New Jersey Devils,48,23,225,166
186,New York Islanders,30,41,212,225
187,New York Rangers,25,39,197,231
188,Ottawa Senators,34,33,193,200
189,Philadelphia Flyers,42,29,242,193
190,Phoenix Coyotes,35,35,224,227
191,Pittsburgh Penguins,40,24,228,188
192,San Jose Sharks,34,38,210,216
193,St. Louis Blues,45,29,256,204
194,Tampa Bay Lightning,17,55,151,269
195,Toronto Maple Leafs,30,43,194,237
196,Vancouver Canucks,25,43,224,273
197,Washington Capitals,40,30,219,202
198,Mighty Ducks of Anaheim,35,34,215,206
199,Boston Bruins,39,30,214,181
200,Buffalo Sabres,37,28,207,175
201,Calgary Flames,30,40,211,234
202,Carolina Hurricanes,34,30,210,202
203,Chicago Blackhawks,29,41,202,248
204,Colorado Avalanche,44,28,239,205
205,Dallas Stars,51,19,236,168
206,Detroit Red Wings,43,32,245,202
207,Edmonton Oilers,33,37,230,226
208,Florida Panthers,30,34,210,228
209,Los Angeles Kings,32,45,189,222
210,Montreal Canadiens,32,39,184,209
211,Nashville Predators,28,47,190,261
212,New Jersey Devils,47,24,248,196
213,New York Islanders,24,48,194,244
214,New York Rangers,33,38,217,227
215,Ottawa Senators,44,23,239,179
216,Philadelphia Flyers,37,26,231,196
217,Phoenix Coyotes,39,31,205,197
218,Pittsburgh Penguins,38,30,242,225
219,San Jose Sharks,31,33,196,191
220,St. Louis Blues,37,32,237,209
221,Tampa Bay Lightning,19,54,179,292
222,Toronto Maple Leafs,45,30,268,231
223,Vancouver Canucks,23,47,192,258
224,Washington Capitals,31,45,200,218
225,Mighty Ducks of Anaheim,34,33,217,227
226,Atlanta Thrashers,14,57,170,313
227,Boston Bruins,24,33,210,248
228,Buffalo Sabres,35,32,213,204
229,Calgary Flames,31,36,211,256
230,Carolina Hurricanes,37,35,217,216
231,Chicago Blackhawks,33,37,242,245
232,Colorado Avalanche,42,28,233,201
233,Dallas Stars,43,23,211,184
234,Detroit Red Wings,48,22,278,210
235,Edmonton Oilers,32,26,226,212
236,Florida Panthers,43,27,244,209
237,Los Angeles Kings,39,27,245,228
238,Montreal Canadiens,35,34,196,194
239,Nashville Predators,28,40,199,240
240,New Jersey Devils,45,24,251,203
241,New York Islanders,24,48,194,275
242,New York Rangers,29,38,218,246
243,Ottawa Senators,41,28,244,210
244,Philadelphia Flyers,45,22,237,179
245,Phoenix Coyotes,39,31,232,228
246,Pittsburgh Penguins,37,31,241,236
247,San Jose Sharks,35,30,225,214
248,St. Louis Blues,51,19,248,165
249,Tampa Bay Lightning,19,47,204,310
250,Toronto Maple Leafs,45,27,246,222
251,Vancouver Canucks,30,29,227,237
252,Washington Capitals,44,24,227,194
253,Mighty Ducks of Anaheim,25,41,188,245
254,Atlanta Thrashers,23,45,211,289
255,Boston Bruins,36,30,227,249
256,Buffalo Sabres,46,30,218,184
257,Calgary Flames,27,36,197,236
258,Carolina Hurricanes,38,32,212,225
259,Columbus Blue Jackets,28,39,190,233
260,Chicago Blackhawks,29,40,210,246
261,Colorado Avalanche,52,16,270,192
262,Dallas Stars,48,24,241,187
263,Detroit Red Wings,49,20,253,202
264,Edmonton Oilers,39,28,243,222
265,Florida Panthers,22,38,200,246
266,Los Angeles Kings,38,28,252,228
267,Minnesota Wild,25,39,168,210
268,Montreal Canadiens,28,40,206,232
269,Nashville Predators,34,36,186,200
270,New Jersey Devils,48,19,295,195
271,New York Islanders,21,51,185,268
272,New York Rangers,33,43,250,290
273,Ottawa Senators,48,21,274,205
274,Philadelphia Flyers,43,25,240,207
275,Phoenix Coyotes,35,27,214,212
276,Pittsburgh Penguins,42,28,281,256
277,San Jose Sharks,40,27,217,192
278,St. Louis Blues,43,22,249,195
279,Tampa Bay Lightning,24,47,201,280
280,Toronto Maple Leafs,37,29,232,207
281,Vancouver Canucks,36,28,239,238
282,Washington Capitals,41,27,233,211
283,Mighty Ducks of Anaheim,29,42,175,198
284,Atlanta Thrashers,19,47,187,288
285,Boston Bruins,43,24,236,201
286,Buffalo Sabres,35,35,213,200
287,Calgary Flames,32,35,201,220
